tc_name,index,type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents,exp_interest_balance_cents,exp_deferred_interest_balance_cents,exp_am_deferred_interest_balance_cents,exp_am_interest_balance_cents,exp_total_interest_paid_to_date_cents,exp_description,merchant_name,mcc_code,ext_key,ext_value,exp_status
PP2169-Validate details fetched in charge and displayed for each Line item under merchant data section,241,getlineitem,2021-12-16T11:15:03-05:00,2021-11-08T,,,CHARGE,,,,,,,,,,,,,,
PP2169-Validate details fetched in charge and displayed for each Line item under merchant data section,242,validation,,,2021-11-08T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,Home Depot,42,,,VALID
PP2170-Validate details fetched in Credit and displayed for each Line item under merchant data section,243,getlineitem,2021-11-16T11:15:03-05:00,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2170-Validate details fetched in Credit and displayed for each Line item under merchant data section,244,validation,,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2170-Validate details fetched in Credit and displayed for each Line item under merchant data section,245,charge,,2021-11-08T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2170-Validate details fetched in Credit and displayed for each Line item under merchant data section,246,getlineitem,2021-12-16T11:15:03-05:00,2021-11-08T,,,CHARGE,,,,,,,,,,,,,,
PP2170-Validate details fetched in Credit and displayed for each Line item under merchant data section,247,validation,,,2021-11-08T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,Home Depot,42,,,VALID
PP1497-Validate details fetched and displayed for each Line item under external fields  section,233,getlineitem,2021-11-16T11:15:03-05:00,2021-11-01T,,,CHARGE,,,,,,,,,,,,,,
PP1497-Validate details fetched and displayed for each Line item under external fields section,234,validation,,,2021-11-01T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1497-Validate details fetched and displayed for each Line item under external fields section,235,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP1497-Validate details fetched and displayed for each Line item under external fields section,236,getlineitem,2021-12-16T11:15:03-05:00,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1497-Validate details fetched and displayed for each Line item under external fields section,237,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,Globex Card Processing Account ID,22445702-a389-431f-927d-07b8d0750787,VALID
PP1516-Validate default value for a line item status is Valid,233,getlineitem,2021-11-16T11:15:03-05:00,2021-11-01T,,,CHARGE,,,,,,,,,,,,,,
PP1516-Validate default value for a line item status is Valid,234,validation,,,2021-11-01T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1516-Validate default value for a line item status is Valid,235,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP1516-Validate default value for a line item status is Valid,236,getlineitem,2021-12-16T11:15:03-05:00,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1516-Validate default value for a line item status is Valid,237,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,233,getlineitem,2021-11-16T11:15:03-05:00,2021-11-01T,,,CHARGE,,,,,,,,,,,,,,
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,234,validation,,,2021-11-01T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,235,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,236,getlineitem,2021-11-16T11:15:03-05:00,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,237,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,236,getlineitem,,2021-11-06T,,,PAYMENT,,,,,,,,,,,,,,
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,237,validation,,,2021-11-06T,,PAYMENT,-191,0,0,0,0,0,0,0,auto_pay,,,,,PENDING 
